date,price
7/15/2024 8:25:00 PM,39.677723
7/15/2024 8:30:00 PM,40.003093
7/15/2024 8:35:00 PM,39.991930
7/15/2024 8:40:00 PM,39.887336
7/15/2024 8:45:00 PM,39.249120
7/15/2024 8:50:00 PM,39.217936
7/15/2024 8:55:00 PM,39.253270
7/15/2024 9:00:00 PM,42.419936
7/15/2024 9:05:00 PM,42.134043
7/15/2024 9:10:00 PM,42.428196
7/15/2024 9:15:00 PM,41.968650
7/15/2024 9:20:00 PM,41.805470
7/15/2024 9:25:00 PM,40.693303
7/15/2024 9:30:00 PM,39.698573
7/15/2024 9:35:00 PM,38.629486
7/15/2024 9:40:00 PM,37.768830
7/15/2024 9:45:00 PM,36.499090
7/15/2024 9:50:00 PM,36.226360
7/15/2024 9:55:00 PM,36.247250
7/15/2024 10:00:00 PM,38.043110
7/15/2024 10:05:00 PM,37.979033
7/15/2024 10:10:00 PM,37.769043
7/15/2024 10:15:00 PM,38.443570
7/15/2024 10:20:00 PM,37.650283
7/15/2024 10:25:00 PM,37.527066
7/15/2024 10:30:00 PM,37.527066
7/15/2024 10:35:00 PM,37.527066
7/15/2024 10:40:00 PM,32.193233
7/15/2024 10:45:00 PM,32.687286
7/15/2024 10:50:00 PM,32.794293
7/15/2024 10:55:00 PM,32.734493
7/15/2024 11:00:00 PM,35.313880
7/15/2024 11:05:00 PM,35.423786
7/15/2024 11:10:00 PM,35.697153
7/15/2024 11:15:00 PM,35.288033
7/15/2024 11:20:00 PM,34.362286
7/15/2024 11:25:00 PM,34.290523
7/15/2024 11:30:00 PM,33.484123
7/15/2024 11:35:00 PM,33.484123
7/15/2024 11:40:00 PM,33.296546
7/15/2024 11:45:00 PM,33.018096
7/15/2024 11:50:00 PM,32.929353
7/15/2024 11:55:00 PM,32.696580
